"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Boundary Protection Devices and Systems","ADPICS Data Diode (ADPICS-DD) Version 1.0","Attila Cybertech Pte Ltd","SG","EAL1","","08/17/2021","08/03/2026","http://commoncriteriaportal.org:443/files/epfiles/Attila ADPICS DD - Certificate Report Version 1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/ADPICS Data Diode - Security Target (Ver 4.0).pdf","","","",""
"Boundary Protection Devices and Systems","Positive Technologies Application Firewall 3.6.3.758","Positive Technologies","ES","EAL2+,ALC_FLR.2","","06/18/2021","06/18/2026","http://commoncriteriaportal.org:443/files/epfiles/2015-11-INF-3525.pdf","http://commoncriteriaportal.org:443/files/epfiles/2015-11-ST.pdf","","","",""
"Boundary Protection Devices and Systems","Arbit Data Diode 10 GbE v1.00","Arbit Cyber Defence Systems ApS","DE","EAL7+,ALC_FLR.1","","04/07/2021","04/07/2026","http://commoncriteriaportal.org:443/files/epfiles/1096a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1096b_pdf.pdf","","","",""
"Boundary Protection Devices and Systems","Fortinet FortiGate/FortiOS 6.0.9","Fortinet, Inc.","CA","None","CPP_FW_V2.0E,EP_VPN_GW_V2.1","01/05/2021","01/05/2026","http://commoncriteriaportal.org:443/files/epfiles/497 LSS 2019 CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/497 LSS 2019 ST v1.1.pdf","","","",""
"Boundary Protection Devices and Systems","F5 BIG-IP 14.1.2 FWcPP","F5, Inc.","SE","EAL1,ASE_SPD.1","","11/04/2020","11/04/2025","http://commoncriteriaportal.org:443/files/epfiles/Certification Report - F5 BIG-IP 14.1.2 FWcPP.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST - F5 BIG-IP AFM 14.1.2 VE.pdf","","","",""
"Boundary Protection Devices and Systems","genuscreen 7.0","genua GmbH","DE","EAL4+,ALC_FLR.2,ASE_TSS.2,AVA_VAN.4","","08/18/2020","08/17/2025","http://commoncriteriaportal.org:443/files/epfiles/1142a_pdf.pdf","http://commoncriteriaportal.org:443/files/epfiles/1142b_pdf.pdf","","","",""
"Boundary Protection Devices and Systems","Fortinet FortiGate 6000 Series w/ FortiOS 5.6","Fortinet, Inc.","CA","None","CPP_FW_V2.0E,EP_VPN_GW_V2.1","07/29/2020","07/29/2025","http://commoncriteriaportal.org:443/files/epfiles/393-4-491 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-491 ST v1.3.pdf","","","",""
"Boundary Protection Devices and Systems","CROS-1.8.22-S01 Software running on C-DOT CRAT-100/CRDT-100 Router","C-DOT -Centre for Development of Telematics","IN","EAL3","","07/15/2020","07/14/2025","http://commoncriteriaportal.org:443/files/epfiles/CR-CDOT-CROS-ROUTER_EAL3.pdf","http://commoncriteriaportal.org:443/files/epfiles/CDOT-NGN-ST-CROS-v07.pdf","","","",""
"Boundary Protection Devices and Systems","ST Engineering Data Diode Model 328X","ST Engineering Electronics","SG","EAL4+,AVA_VAN.5","","06/10/2020","06/09/2025","http://commoncriteriaportal.org:443/files/epfiles/ST Data Diode 328X Certification Report v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/STEng Data Diode 328X Security Target_v2.pdf","","","",""
"Boundary Protection Devices and Systems","Forcepoint Data Guard v3.0","Forcepoint LLC","IT","EAL4+,ALC_FLR.2","","05/26/2020","05/26/2025","http://commoncriteriaportal.org:443/files/epfiles/cr_forcepoint_data_guard_30_v1.0_en.pdf","http://commoncriteriaportal.org:443/files/epfiles/st_forcepoint_data_guard_30_v0.8.pdf","","","",""
"Boundary Protection Devices and Systems","Fort Fox Hardware Data Diode (FFHDD) Version FFHDD3_1 and FFHDD3_10","Fox-IT B.V.","SG","EAL4+,AVA_VAN.5","","03/23/2020","03/23/2025","http://commoncriteriaportal.org:443/files/epfiles/cer-ffhdd3-certification-report.pdf","http://commoncriteriaportal.org:443/files/epfiles/dd-foxit-ffhdd3-security-target.pdf","","","",""
"Boundary Protection Devices and Systems","Cisco ASR 900 Series and NCS4200 Series running IOS-XE 16.9","Cisco Systems, Inc.","IN","None","NDCPP","12/17/2019","12/17/2024","http://commoncriteriaportal.org:443/files/epfiles/CR-CISCO-ASR900-NCS4200_NDcPP.pdf","http://commoncriteriaportal.org:443/files/epfiles/Cisco_ASR900Series_NCS4200Series_SecurityTarget-20191011_Ver_1.0.pdf","","","",""
"Boundary Protection Devices and Systems","F5 BIG-IP 14.1.0 for LTM+AFM","F5 Networks, Inc.","SE","None","CPP_FW_V2.0E","12/17/2019","12/17/2024","http://commoncriteriaportal.org:443/files/epfiles/certification-report-f5-bigip-ltmafm-version-14.1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/F5 BIG-IP AFM 14.1.0 ST v4.6.pdf","","","",""
"Boundary Protection Devices and Systems","AUTEK PSTdiode ATKDDL versi&oacute;n 1.0.0","Autek Ingenier&iacute;a, S.L.","ES","EAL4+,ALC_FLR.3,AVA_VAN.5","","10/25/2019","10/25/2024","http://commoncriteriaportal.org:443/files/epfiles/2017-09-INF-2840.pdf","http://commoncriteriaportal.org:443/files/epfiles/2017-09-ST-lite.pdf","","","",""
"Boundary Protection Devices and Systems","Owl DualDiode Communication Cards 10G, 2.5G, 1.0G v.7 & v.7t Models","Owl Cyber Defense Solutions, LLC","SE","EAL4+,AVA_VAN.4","","09/11/2019","09/11/2024","http://commoncriteriaportal.org:443/files/epfiles/Certification Report - Owl DualDiode.pdf","http://commoncriteriaportal.org:443/files/epfiles/OwlDualDiodeVer-7-Model-SecurityTarget-EAL4_v01m.pdf","","","",""
"Boundary Protection Devices and Systems","Forcepoint On-Premise Security 8.5","Forcepoint LLC","MY","EAL2+,ALC_FLR.2","","06/27/2019","","http://commoncriteriaportal.org:443/files/epfiles/ISCB-3-RPT-C102-CR-v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/Forcepoint On-Premise Security v1.0.pdf","","","",""
"Boundary Protection Devices and Systems","Clavister cOS Core v12.00.00","Clavister AB","SE","EAL4,ALC_FLR.1","","06/19/2019","06/19/2024","http://commoncriteriaportal.org:443/files/epfiles/Certification Report Clavister cOS.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST Clavister cOS vJ.pdf","","","",""
"Boundary Protection Devices and Systems","F5 BIG-IP 13.1.1 for LTM+AFM","F5 Networks, Inc.","SE","None","CPP_FW_V2.0E","06/19/2019","06/19/2024","http://commoncriteriaportal.org:443/files/epfiles/Certification Report - F5 BIG-IP FWcPP AFM 13.1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/F5 BIG-IP FWcPP AFM 13.1.1 ST v0.14.pdf","","","",""
"Boundary Protection Devices and Systems","HaltDos Mitigation Platform version 1.1 comprising of hdInspector version 1.0, hdDeviceUI version 2.0, hdDetectionService version 1.0 and hdCLI version 2.0.","Haltdos.com Private Limited E &ndash; 52, Sector -3, Noida, UP,  201301, India","IN","EAL2,ALC_CMC.3,ALC_CMS.3","","06/03/2019","06/02/2024","http://commoncriteriaportal.org:443/files/epfiles/CR- HaltDOS_EAL2.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST-version1.4.pdf","","","",""
"Boundary Protection Devices and Systems","Fortinet FortiGate w&#x2f; FortiOS v5.6.7","Fortinet, Inc.","CA","None","CPP_FW_V2.0E","05/22/2019","05/24/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-450 CR v1.0a.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-450 ST v1.3A.pdf","08/26/2019","Fortinet FortiGate w&#x2f; FortiOS v5.6.7 Build 6022","http://commoncriteriaportal.org:443/files/epfiles/383-7-159 MR v1.0e.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-7-159 ST v1.4 CCRA.pdf"
"Boundary Protection Devices and Systems","Fortinet FortiGate w&#x2f; FortiOS v5.6.7","Fortinet, Inc.","CA","None","CPP_FW_V2.0E","05/22/2019","05/24/2024","http://commoncriteriaportal.org:443/files/epfiles/383-4-450 CR v1.0a.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-450 ST v1.3A.pdf","","","",""
"Boundary Protection Devices and Systems","F5 BIG-IP 12.1.3.4 for LTM+AFM","F5 Networks, Inc.","SE","None","CPP_FW_V1.0","12/07/2018","12/07/2023","http://commoncriteriaportal.org:443/files/epfiles/Certification Report v2.0 - F5 BIG-IP 12.1.3.4 FWcPP.pdf","http://commoncriteriaportal.org:443/files/epfiles/f5 fwcpp st.pdf","","","",""
"Boundary Protection Devices and Systems","Fort Fox Hardware Data Diode FFHDD3_1&#x2f;10","Fox-IT B.V.","NL","EAL7+,ALC_FLR.3,ASE_TSS.2","","07/11/2018","07/11/2023","http://commoncriteriaportal.org:443/files/epfiles/[CR] NSCIB-CC-163925-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/[ST] 20180627 - FFHDD-ASE v3.04.pdf","","","",""
"Boundary Protection Devices and Systems","Thales Trusted Security Filter TSF201","Thales Norway AS","NO","EAL5,ALC_FLR.3","","02/01/2016","","http://commoncriteriaportal.org:443/files/epfiles/20160201 SERTIT-060 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/3AQ 25940 AAAA 377 EN Security Target for TSF 201 ed  2.pdf","11/29/2018","Maintenance of Thales Trusted Security Filter TSF201","http://commoncriteriaportal.org:443/files/epfiles/20181129 Sertit-060 Maintenance report 1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/2018 TSF201 Security Target.pdf"
"Boundary Protection Devices and Systems","Thales Trusted Security Filter TSF201","Thales Norway AS","NO","EAL5,ALC_FLR.3","","02/01/2016","","http://commoncriteriaportal.org:443/files/epfiles/20160201 SERTIT-060 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/3AQ 25940 AAAA 377 EN Security Target for TSF 201 ed  2.pdf","06/23/2021","Maintenance of Thales Trusted Security Filter TSF201","http://commoncriteriaportal.org:443/files/epfiles/SERTIT-060 MR v 2.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/3AQ 25940 AAAA 377 Security Target for TSF 201 v4.pdf"
"Boundary Protection Devices and Systems","Thales Trusted Security Filter TSF201","Thales Norway AS","NO","EAL5,ALC_FLR.3","","02/01/2016","","http://commoncriteriaportal.org:443/files/epfiles/20160201 SERTIT-060 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/3AQ 25940 AAAA 377 EN Security Target for TSF 201 ed  2.pdf","","","",""
"Data Protection","D'Amo v5.0","PENTA SECURITY SYSTEMS INC.","KR","None","KECS-PP-0820A-2017 DB ENCRYPTION V1.1","06/15/2023","06/15/2028","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-23-40 D'Amo v5.0 (eng)1246.pdf","http://commoncriteriaportal.org:443/files/epfiles/DAmo v5.0 Secutiry Target v1.2(eng).pdf","","","",""
"Data Protection","ubCUBE v3.7","Iqpad, Inc.","KR","None","KECS-PP-0821A-2017 DOCUMENT ENCRYPTION V1.1","04/28/2023","04/28/2028","http://commoncriteriaportal.org:443/files/epfiles/KECS-CISS-1236-2023_CR_EN.pdf","http://commoncriteriaportal.org:443/files/epfiles/KECS-CISS-1236-2023_ST_EN.pdf","","","",""
"Data Protection","Echelon V3.5","UbimInfo Co., Ltd.","KR","None","KECS-PP-0820A-2017 DB ENCRYPTION V1.1","03/17/2023","03/17/2028","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-23-12 Echelon V3.5 (eng).pdf","http://commoncriteriaportal.org:443/files/epfiles/Echelon V3.5-ASE.1-ST-r1.2(EN).pdf","","","",""
"Data Protection","PrivacyDB V2.1","OWL Systems Inc.","KR","None","KECS-PP-0820A-2017 DB ENCRYPTION V1.1","01/10/2023","01/10/2028","http://commoncriteriaportal.org:443/files/epfiles/KECS-CISS-1210-2023_CR_EN.pdf","http://commoncriteriaportal.org:443/files/epfiles/KECS-CISS-1210-2023_ST_EN.pdf","","","",""
"Data Protection","FED 5 SP1","Fasoo Co., Ltd.","KR","None","KECS-PP-0821A-2017 DOCUMENT ENCRYPTION V1.1","01/02/2023","01/02/2028","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-23-01 Certification Report(FED 5 SP1).pdf","http://commoncriteriaportal.org:443/files/epfiles/FED 5 SP1_ST_1.2_en.pdf","","","",""
"Data Protection","Document Security V6.0","SoftCamp Co., Ltd.","KR","None","KECS-PP-0821A-2017 DOCUMENT ENCRYPTION V1.1","12/14/2022","12/14/2027","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-22-61 Certification Report(Document Security V6.0) R0.pdf","http://commoncriteriaportal.org:443/files/epfiles/Document Security V6.0_Security Target_V1.2.pdf","","","",""
"Data Protection","Spiceware DBE v2.0","Spiceware Co., Ltd.","KR","None","KECS-PP-0820A-2017 DB ENCRYPTION V1.1","09/02/2022","09/02/2027","http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-22-40 Spiceware DBE v2.0(eng) rev5.pdf","http://commoncriteriaportal.org:443/files/epfiles/Spiceware DBE v2.0-Security Target_v1.4 (fin).pdf","","","",""
"Data Protection","Cryhod Version Q2021.2","PrimX Technologies","FR","EAL3+,ALC_FLR.3,AVA_VAN.3","PP_DCSSI_MASS_STORAGE_ENCRYPT_APP_V1.4","08/27/2022","06/27/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2022_35fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-2022_35fr.pdf","","","",""
"Data Protection","Zed! Version Q.2021.1","PrimX Technologies","FR","EAL3+,ALC_FLR.3,AVA_VAN.3","","08/23/2022","08/23/2027","http://commoncriteriaportal.org:443/files/epfiles/anssi-cc-2022_40fr.pdf","http://commoncriteriaportal.org:443/files/epfiles/anssi-cible-2022_40fr.pdf","","","",""
