id,category,name,manufacturer,scheme,assurance_level,protection_profile,certification_id,certification_date,archived_date,certification_report_url,security_target_url,maintenance_date,maintenance_title,maintenance_report,maintenance_st,conformance_claim,cctl,remark
11,"Access Control Devices and Systems","Illumio Adaptive Security Platform v18.2.2",Illumio,CA,NULL,PP_ESM_PM_V2.1,NULL,07/12/2019,07/12/2024,"http://commoncriteriaportal.org:443/files/epfiles/383-4-459 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-459 Illumio ASP Security Target v1.3 .pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"Access Control Devices and Systems","openNAC Enterprise v1.2","Open Cloud Factory",ES,EAL2,NULL,NULL,06/18/2019,06/18/2024,http://commoncriteriaportal.org:443/files/epfiles/2017-10-INF-2789.pdf,http://commoncriteriaportal.org:443/files/epfiles/2017-10-ST.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"Access Control Devices and Systems","ISign&#x2b; v3.0","PENTA SECURITY SYSTEMS INC.",KR,NULL,"KECS-PP-0822-2017 SSO V1.0",NULL,04/10/2019,04/10/2024,http://commoncriteriaportal.org:443/files/epfiles/KECS-CISS-0924-2019_CR_EN.pdf,http://commoncriteriaportal.org:443/files/epfiles/KECS-CISS-0924-2019_ST_EN.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"Access Control Devices and Systems","Pass-Ni SSO v4.0","UbiNtisLab Co., Ltd.",KR,NULL,"KECS-PP-0822-2017 SSO V1.0",NULL,03/04/2019,03/04/2024,"http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-19-11 Pass-Ni SSO v4.0(eng).pdf",http://commoncriteriaportal.org:443/files/epfiles/PassNi-SSO-v4.0-ST-V1.0.R6(EN).pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,"Access Control Devices and Systems","KSignAccess V4.0","KSign Co., Ltd.",KR,NULL,"KECS-PP-0822-2017 SSO V1.0",NULL,01/11/2019,01/11/2024,"http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-19-01 KSignAccess V4.0(eng) V1.00.pdf","http://commoncriteriaportal.org:443/files/epfiles/KSignAccess V4.0 Security Target V1.2.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"Access Control Devices and Systems","OAM (Operation, Administration &  Management/Maintenance) Module  VCL-MX Version 6 80 E1, 160Mbps Voice & Data Multiplexer","Valiant Communications Limited  71&#x2f;1 Shivaji Marg, New Delhi-110015, India",IN,EAL1,NULL,NULL,12/12/2018,12/11/2023,http://commoncriteriaportal.org:443/files/epfiles/CR-OAM_EAL1.pdf,http://commoncriteriaportal.org:443/files/epfiles/ST_version1.4_Valient.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"Access Control Devices and Systems","Thycotic Secret Server Government Edition v10.0",Thycotic,CA,NULL,PP_ESM_ICM_V2.1,NULL,10/23/2018,09/11/2023,"http://commoncriteriaportal.org:443/files/epfiles/383-4-445 CR v1.1e.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-445 ST v1.5.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,"Access Control Devices and Systems","TouchEn wiseaccess v1.3","RaonSecure Co., Ltd",KR,NULL,"KECS-PP-0822-2017 SSO V1.0",NULL,09/20/2018,09/20/2023,"http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-18-44 Certification Report.pdf","http://commoncriteriaportal.org:443/files/epfiles/wiseaccess-D-ST v1.3.07(eng).pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"Access Control Devices and Systems","INISAFE Nexess V4",INITECH,KR,NULL,"KECS-PP-0822-2017 SSO V1.0",NULL,08/20/2018,08/20/2023,"http://commoncriteriaportal.org:443/files/epfiles/KECS-CR-18-36 INISAFE Nexess V4(eng).pdf",http://commoncriteriaportal.org:443/files/epfiles/CCP.C_NX42_Security_Target(ST_lite)_V1.13(EN).pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"Boundary Protection Devices and Systems","DataDiodeX Modules v1.0.0","Dataflowx Teknoloji A.S.",TR,"EAL4+,AVA_VAN.5",NULL,NULL,06/13/2023,06/13/2028,"http://commoncriteriaportal.org:443/files/epfiles/CCCS CERTIFICATION REPORT.pdf","http://commoncriteriaportal.org:443/files/epfiles/DataDiodeX_ST Lite.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"Boundary Protection Devices and Systems","Antikor Next Generation Firewall Management v2.0.1188","Epati Siber Güvenlik Tek. San. ve Tic. A.S.",TR,"EAL4+,ALC_FLR.1",NULL,NULL,04/17/2023,04/17/2028,"http://commoncriteriaportal.org:443/files/epfiles/Antikor Next Gen Firewall CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST Document.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"Boundary Protection Devices and Systems","genuscreen 8.0","genua GmbH",DE,"EAL4+,ALC_FLR.2,ALC_PAM.1,ASE_TSS.2,AVA_VAN.4",NULL,NULL,04/06/2023,04/05/2028,http://commoncriteriaportal.org:443/files/epfiles/1194a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1194b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"Boundary Protection Devices and Systems","Waterfall Unidirectional Security Gateway WF-500, Version 2.0","Waterfall Security Solutions Ltd.",NL,"EAL4+,ALC_DVS.2,ALC_FLR.2,AVA_VAN.5",NULL,NULL,03/24/2023,03/24/2028,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0618820-CR-1.pdf,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0618820-STv3.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"Boundary Protection Devices and Systems","Cisco Firepower Threat Defense (FTD) 6.4 with FMC and AnyConnect","Cisco Systems, Inc. 170 West Tasman  Dr.  San Jose, CA 95134-1706 USA",NL,"EAL4+,ALC_FLR.2",NULL,NULL,10/07/2022,10/07/2027,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0259553-CR-1.0.pdf,http://commoncriteriaportal.org:443/files/epfiles/nscib-cc-0259553-st-v1.0.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"Boundary Protection Devices and Systems","Hillstone SG-6000 A-Series NGFW and StoneOS 5.5R9","Hillstone Network Corp.",NL,"EAL4,ALC_FLR.1",NULL,NULL,09/27/2022,09/27/2027,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0476172-CR-1.0.pdf,http://commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0476172-ST_V1.1.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,"Boundary Protection Devices and Systems","Owl XDE Radium v1.3","Owl Cyber Defense Solutions, LLC",SE,"EAL4+,AVA_VAN.4",NULL,NULL,09/19/2022,09/19/2027,"http://commoncriteriaportal.org:443/files/epfiles/Certification Report - Owl XDE Radium v13.pdf","http://commoncriteriaportal.org:443/files/epfiles/Owl XDE Radium_SecurityTarget_EAL4 plus_V1.3.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,"Boundary Protection Devices and Systems","McAfee Endpoint Security 10.7.x with ePolicy Orchestrator 5.10.x",Trellix,CA,"EAL2+,ALC_FLR.2",NULL,NULL,07/28/2022,07/28/2027,"http://commoncriteriaportal.org:443/files/epfiles/555-EWA CR v1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/MFE ENS 10-7 ST 10 July 22.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,"Boundary Protection Devices and Systems","AhnLab CPP 1.0","AhnLab, Inc.",CA,"EAL2+,ALC_FLR.1",NULL,NULL,07/14/2022,07/14/2027,"http://commoncriteriaportal.org:443/files/epfiles/570 LSS CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/570-LSS AhnLab CPP Security Target_2.5.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,"Boundary Protection Devices and Systems","ST Engineering Data Diode Model 5282, version 2.2.1055 & Model 5283 version 2.2.1055","ST Engineering Electronics",SG,"EAL4+,AVA_VAN.5",NULL,NULL,07/08/2022,07/08/2027,"http://commoncriteriaportal.org:443/files/epfiles/[CER] Certificate Report - ST Engineering Data Diode model 5282 and 5283.pdf","http://commoncriteriaportal.org:443/files/epfiles/[DD] STEng Data Diode Security Target_v4.0_EAL4.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,"Boundary Protection Devices and Systems","Trend Micro Deep Security 20","Trend Micro Inc.",CA,"EAL2+,ALC_FLR.1",NULL,NULL,05/31/2022,05/31/2027,"http://commoncriteriaportal.org:443/files/epfiles/561-LSS CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/561-LSS ST v12.0.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,"Boundary Protection Devices and Systems","TNOR Guard v. 1.1.3","Thales Norway AS",NO,"EAL4+,ALC_FLR.3,AVA_VAN.4",NULL,NULL,05/12/2022,05/12/2027,"http://commoncriteriaportal.org:443/files/epfiles/SERTIT-120 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/TNOR Guards 739_20726_aaaa_sc_ed10-4-public.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,"Boundary Protection Devices and Systems","FortiGate/FortiOS Version 6.2.7","Fortinet, Inc.",CA,NULL,"CPP_ND_V2.2E,MOD_CPP_FW_V1.4E,MOD_IPS_V1.0,MOD_VPNGW_V1.1",NULL,01/14/2022,01/14/2026,"http://commoncriteriaportal.org:443/files/epfiles/559-LSS CR v1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/559-LSS ST v1.7.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,"Boundary Protection Devices and Systems","Fortinet FortiGate Next Generation Firewalls with FortiOS 6.2.7","Fortinet, Inc.",CA,"EAL4+,ADV_FSP.3",NULL,NULL,10/15/2021,10/15/2026,"http://commoncriteriaportal.org:443/files/epfiles/515-EWA CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/515-EWA ST 1.10.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
34,"Boundary Protection Devices and Systems","SDoT Security Gateway, Version 6.2i","INFODAS  Gesellschaft für Systementwicklung und informationsverarbeitung mbH",DE,"EAL4+,ALC_FLR.2",NULL,NULL,09/27/2021,09/27/2026,http://commoncriteriaportal.org:443/files/epfiles/1129a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1129b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,"Boundary Protection Devices and Systems","Blackline Systems Corporation BSC-CDS Unidirectional Subsystem PN: 710-0185-00","Blackline Systems Corporation",CA,"EAL4+,ADV_INT.2,ALC_CMC.5,ALC_CMS.5,ALC_DVS.2,ALC_FLR.3,ATE_DPT.2,AVA_VAN.4",NULL,NULL,09/15/2021,09/15/2026,"http://commoncriteriaportal.org:443/files/epfiles/531-LSS CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/531-LSS ST v0.9.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,"Boundary Protection Devices and Systems","Sphyrna Security Unidirectional Gateway - Data Diode Identifier: 2010-UG100-SSI","Sphyrna Security Incorporated",CA,"EAL4+,ADV_INT.2,ALC_CMC.5,ALC_CMS.5,ALC_DVS.2,ALC_FLR.3,ATE_DPT.2,AVA_VAN.4",NULL,NULL,09/07/2021,09/07/2026,"http://commoncriteriaportal.org:443/files/epfiles/536-LSS CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/536-LSS ST v1.0.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,"Boundary Protection Devices and Systems","ADPICS Data Diode (ADPICS-DD) Version 1.0","Attila Cybertech Pte Ltd",SG,EAL1,NULL,NULL,08/17/2021,08/03/2026,"http://commoncriteriaportal.org:443/files/epfiles/Attila ADPICS DD - Certificate Report Version 1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/ADPICS Data Diode - Security Target (Ver 4.0).pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
38,"Boundary Protection Devices and Systems","Positive Technologies Application Firewall 3.6.3.758","Positive Technologies",ES,"EAL2+,ALC_FLR.2",NULL,NULL,06/18/2021,06/18/2026,http://commoncriteriaportal.org:443/files/epfiles/2015-11-INF-3525.pdf,http://commoncriteriaportal.org:443/files/epfiles/2015-11-ST.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,"Boundary Protection Devices and Systems","Arbit Data Diode 10 GbE v1.00","Arbit Cyber Defence Systems ApS",DE,"EAL7+,ALC_FLR.1",NULL,NULL,04/07/2021,04/07/2026,http://commoncriteriaportal.org:443/files/epfiles/1096a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1096b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,"Boundary Protection Devices and Systems","Fortinet FortiGate/FortiOS 6.0.9","Fortinet, Inc.",CA,NULL,"CPP_FW_V2.0E,EP_VPN_GW_V2.1",NULL,01/05/2021,01/05/2026,"http://commoncriteriaportal.org:443/files/epfiles/497 LSS 2019 CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/497 LSS 2019 ST v1.1.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,"Boundary Protection Devices and Systems","F5 BIG-IP 14.1.2 FWcPP","F5, Inc.",SE,"EAL1,ASE_SPD.1",NULL,NULL,11/04/2020,11/04/2025,"http://commoncriteriaportal.org:443/files/epfiles/Certification Report - F5 BIG-IP 14.1.2 FWcPP.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST - F5 BIG-IP AFM 14.1.2 VE.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,"Boundary Protection Devices and Systems","genuscreen 7.0","genua GmbH",DE,"EAL4+,ALC_FLR.2,ASE_TSS.2,AVA_VAN.4",NULL,NULL,08/18/2020,08/17/2025,http://commoncriteriaportal.org:443/files/epfiles/1142a_pdf.pdf,http://commoncriteriaportal.org:443/files/epfiles/1142b_pdf.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
43,"Boundary Protection Devices and Systems","Fortinet FortiGate 6000 Series w/ FortiOS 5.6","Fortinet, Inc.",CA,NULL,"CPP_FW_V2.0E,EP_VPN_GW_V2.1",NULL,07/29/2020,07/29/2025,"http://commoncriteriaportal.org:443/files/epfiles/393-4-491 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-491 ST v1.3.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,"Boundary Protection Devices and Systems","CROS-1.8.22-S01 Software running on C-DOT CRAT-100/CRDT-100 Router","C-DOT -Centre for Development of Telematics",IN,EAL3,NULL,NULL,07/15/2020,07/14/2025,http://commoncriteriaportal.org:443/files/epfiles/CR-CDOT-CROS-ROUTER_EAL3.pdf,http://commoncriteriaportal.org:443/files/epfiles/CDOT-NGN-ST-CROS-v07.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,"Boundary Protection Devices and Systems","ST Engineering Data Diode Model 328X","ST Engineering Electronics",SG,"EAL4+,AVA_VAN.5",NULL,NULL,06/10/2020,06/09/2025,"http://commoncriteriaportal.org:443/files/epfiles/ST Data Diode 328X Certification Report v1.pdf","http://commoncriteriaportal.org:443/files/epfiles/STEng Data Diode 328X Security Target_v2.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
46,"Boundary Protection Devices and Systems","Forcepoint Data Guard v3.0","Forcepoint LLC",IT,"EAL4+,ALC_FLR.2",NULL,NULL,05/26/2020,05/26/2025,http://commoncriteriaportal.org:443/files/epfiles/cr_forcepoint_data_guard_30_v1.0_en.pdf,http://commoncriteriaportal.org:443/files/epfiles/st_forcepoint_data_guard_30_v0.8.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,"Boundary Protection Devices and Systems","Fort Fox Hardware Data Diode (FFHDD) Version FFHDD3_1 and FFHDD3_10","Fox-IT B.V.",SG,"EAL4+,AVA_VAN.5",NULL,NULL,03/23/2020,03/23/2025,http://commoncriteriaportal.org:443/files/epfiles/cer-ffhdd3-certification-report.pdf,http://commoncriteriaportal.org:443/files/epfiles/dd-foxit-ffhdd3-security-target.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,"Boundary Protection Devices and Systems","Cisco ASR 900 Series and NCS4200 Series running IOS-XE 16.9","Cisco Systems, Inc.",IN,NULL,NDCPP,NULL,12/17/2019,12/17/2024,http://commoncriteriaportal.org:443/files/epfiles/CR-CISCO-ASR900-NCS4200_NDcPP.pdf,http://commoncriteriaportal.org:443/files/epfiles/Cisco_ASR900Series_NCS4200Series_SecurityTarget-20191011_Ver_1.0.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
49,"Boundary Protection Devices and Systems","F5 BIG-IP 14.1.0 for LTM+AFM","F5 Networks, Inc.",SE,NULL,CPP_FW_V2.0E,NULL,12/17/2019,12/17/2024,http://commoncriteriaportal.org:443/files/epfiles/certification-report-f5-bigip-ltmafm-version-14.1.0.pdf,"http://commoncriteriaportal.org:443/files/epfiles/F5 BIG-IP AFM 14.1.0 ST v4.6.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
50,"Boundary Protection Devices and Systems","AUTEK PSTdiode ATKDDL versi&oacute;n 1.0.0","Autek Ingenier&iacute;a, S.L.",ES,"EAL4+,ALC_FLR.3,AVA_VAN.5",NULL,NULL,10/25/2019,10/25/2024,http://commoncriteriaportal.org:443/files/epfiles/2017-09-INF-2840.pdf,http://commoncriteriaportal.org:443/files/epfiles/2017-09-ST-lite.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
51,"Boundary Protection Devices and Systems","Owl DualDiode Communication Cards 10G, 2.5G, 1.0G v.7 & v.7t Models","Owl Cyber Defense Solutions, LLC",SE,"EAL4+,AVA_VAN.4",NULL,NULL,09/11/2019,09/11/2024,"http://commoncriteriaportal.org:443/files/epfiles/Certification Report - Owl DualDiode.pdf",http://commoncriteriaportal.org:443/files/epfiles/OwlDualDiodeVer-7-Model-SecurityTarget-EAL4_v01m.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
52,"Boundary Protection Devices and Systems","Forcepoint On-Premise Security 8.5","Forcepoint LLC",MY,"EAL2+,ALC_FLR.2",NULL,NULL,06/27/2019,NULL,http://commoncriteriaportal.org:443/files/epfiles/ISCB-3-RPT-C102-CR-v1.pdf,"http://commoncriteriaportal.org:443/files/epfiles/Forcepoint On-Premise Security v1.0.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
53,"Boundary Protection Devices and Systems","Clavister cOS Core v12.00.00","Clavister AB",SE,"EAL4,ALC_FLR.1",NULL,NULL,06/19/2019,06/19/2024,"http://commoncriteriaportal.org:443/files/epfiles/Certification Report Clavister cOS.pdf","http://commoncriteriaportal.org:443/files/epfiles/ST Clavister cOS vJ.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
54,"Boundary Protection Devices and Systems","F5 BIG-IP 13.1.1 for LTM+AFM","F5 Networks, Inc.",SE,NULL,CPP_FW_V2.0E,NULL,06/19/2019,06/19/2024,"http://commoncriteriaportal.org:443/files/epfiles/Certification Report - F5 BIG-IP FWcPP AFM 13.1.1.pdf","http://commoncriteriaportal.org:443/files/epfiles/F5 BIG-IP FWcPP AFM 13.1.1 ST v0.14.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
55,"Boundary Protection Devices and Systems","HaltDos Mitigation Platform version 1.1 comprising of hdInspector version 1.0, hdDeviceUI version 2.0, hdDetectionService version 1.0 and hdCLI version 2.0.","Haltdos.com Private Limited E &ndash; 52, Sector -3, Noida, UP,  201301, India",IN,"EAL2,ALC_CMC.3,ALC_CMS.3",NULL,NULL,06/03/2019,06/02/2024,"http://commoncriteriaportal.org:443/files/epfiles/CR- HaltDOS_EAL2.pdf",http://commoncriteriaportal.org:443/files/epfiles/ST-version1.4.pdf,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,"Boundary Protection Devices and Systems","Fortinet FortiGate w&#x2f; FortiOS v5.6.7","Fortinet, Inc.",CA,NULL,CPP_FW_V2.0E,NULL,05/22/2019,05/24/2024,"http://commoncriteriaportal.org:443/files/epfiles/383-4-450 CR v1.0a.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-450 ST v1.3A.pdf",08/26/2019,"Fortinet FortiGate w&#x2f; FortiOS v5.6.7 Build 6022","http://commoncriteriaportal.org:443/files/epfiles/383-7-159 MR v1.0e.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-7-159 ST v1.4 CCRA.pdf",NULL,NULL,NULL
57,"Boundary Protection Devices and Systems","Fortinet FortiGate w&#x2f; FortiOS v5.6.7","Fortinet, Inc.",CA,NULL,CPP_FW_V2.0E,NULL,05/22/2019,05/24/2024,"http://commoncriteriaportal.org:443/files/epfiles/383-4-450 CR v1.0a.pdf","http://commoncriteriaportal.org:443/files/epfiles/383-4-450 ST v1.3A.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,"Boundary Protection Devices and Systems","F5 BIG-IP 12.1.3.4 for LTM+AFM","F5 Networks, Inc.",SE,NULL,CPP_FW_V1.0,NULL,12/07/2018,12/07/2023,"http://commoncriteriaportal.org:443/files/epfiles/Certification Report v2.0 - F5 BIG-IP 12.1.3.4 FWcPP.pdf","http://commoncriteriaportal.org:443/files/epfiles/f5 fwcpp st.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,"Boundary Protection Devices and Systems","Fort Fox Hardware Data Diode FFHDD3_1&#x2f;10","Fox-IT B.V.",NL,"EAL7+,ALC_FLR.3,ASE_TSS.2",NULL,NULL,07/11/2018,07/11/2023,"http://commoncriteriaportal.org:443/files/epfiles/[CR] NSCIB-CC-163925-CR.pdf","http://commoncriteriaportal.org:443/files/epfiles/[ST] 20180627 - FFHDD-ASE v3.04.pdf",NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,"Boundary Protection Devices and Systems","Thales Trusted Security Filter TSF201","Thales Norway AS",NO,"EAL5,ALC_FLR.3",NULL,NULL,02/01/2016,NULL,"http://commoncriteriaportal.org:443/files/epfiles/20160201 SERTIT-060 CR v1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/3AQ 25940 AAAA 377 EN Security Target for TSF 201 ed  2.pdf",11/29/2018,"Maintenance of Thales Trusted Security Filter TSF201","http://commoncriteriaportal.org:443/files/epfiles/20181129 Sertit-060 Maintenance report 1.0.pdf","http://commoncriteriaportal.org:443/files/epfiles/2018 TSF201 Security Target.pdf",NULL,NULL,NULL
